"filename", "language", "C#", "XML", "comment", "blank", "total"
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\PlayFabErrors.cs", "C#", 688, 0, 8, 8, 704
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\PlayFabHttp\IPlayFabHttp.cs", "C#", 53, 0, 1, 6, 60
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\PlayFabHttp\PlayFabHTTP.cs", "C#", 397, 0, 50, 51, 498
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\PlayFabHttp\PlayFabUnityHttp.cs", "C#", 247, 0, 4, 33, 284
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\PlayFabHttp\PlayFabWWW.cs", "C#", 237, 0, 4, 26, 267
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\PlayFabHttp\PlayFabWebRequest.cs", "C#", 442, 0, 47, 52, 541
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\SimpleJson.cs", "C#", 1603, 0, 281, 198, 2082
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\SingletonMonoBehaviour.cs", "C#", 46, 0, 5, 8, 59
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\Util.cs", "C#", 129, 0, 9, 20, 158
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\wsaReflectionExtensions.cs", "C#", 64, 0, 0, 3, 67
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\CRC32.cs", "C#", 386, 0, 343, 87, 816
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\Deflate.cs", "C#", 1180, 0, 410, 291, 1881
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\DeflateStream.cs", "C#", 197, 0, 500, 44, 741
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\GZipStream.cs", "C#", 284, 0, 677, 70, 1031
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\InfTree.cs", "C#", 295, 0, 103, 40, 438
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\Inflate.cs", "C#", 1391, 0, 151, 256, 1798
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\ParallelDeflateOutputStream.cs", "C#", 681, 0, 534, 170, 1385
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\ZTree.cs", "C#", 246, 0, 131, 48, 425
