Date : 2021-05-03 14:37:03
Directory : e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets
Total : 176 files,  44962 codes, 25144 comments, 8009 blanks, all 78115 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        175 |     44,941 |     25,144 |      8,008 |     78,093 |
| XML      |          1 |         21 |          0 |          1 |         22 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\ZlibConstants.cs                                  | C#       |         23 |         94 |         12 |        129 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\ZlibStream.cs                                     | C#       |        178 |        508 |         41 |        727 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Models\PlayFabSharedSettings.cs                              | C#       |         32 |          0 |          7 |         39 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Models\SharedModels.cs                                       | C#       |         37 |          0 |          8 |         45 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\IPlayFabPlugin.cs                                     | C#       |          6 |          3 |          0 |          9 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\ISerializerPlugin.cs                                  | C#       |         11 |          3 |          1 |         15 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\ITransportPlugin.cs                                   | C#       |         17 |          4 |          7 |         28 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PlayFabApiSettings.cs                                 | C#       |         80 |         12 |         16 |        108 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PlayFabAuthenticationContext.cs                       | C#       |         62 |         10 |          6 |         78 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PlayFabDataGatherer.cs                                | C#       |        104 |         20 |         15 |        139 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PlayFabEvents.cs                                      | C#       |      2,337 |          4 |        586 |      2,927 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PlayFabLogger.cs                                      | C#       |        197 |         48 |         26 |        271 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PlayFabSettings.cs                                    | C#       |        170 |         17 |         20 |        207 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PluginContract.cs                                     | C#       |          8 |          0 |          0 |          8 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PluginContractKey.cs                                  | C#       |         20 |          0 |          4 |         24 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PluginManager.cs                                      | C#       |         77 |         18 |         16 |        111 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\link.xml                                                            | XML      |         21 |          0 |          1 |         22 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Enemies\basic_gob.cs                                                   | C#       |         39 |          7 |         10 |         56 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\IItemContainer.cs                                            | C#       |          8 |          0 |          2 |         10 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\build_button.cs                                              | C#       |        113 |         11 |         51 |        175 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\drop_down.cs                                                 | C#       |         20 |          3 |          6 |         29 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\inventory.cs                                                 | C#       |         72 |          2 |         10 |         84 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\item_drag.cs                                                 | C#       |         29 |          0 |          6 |         35 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\item_hotbar.cs                                               | C#       |         38 |          5 |         10 |         53 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\item_script.cs                                               | C#       |         66 |          5 |         21 |         92 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Main Menu\MainMenu.cs                                                  | C#       |         14 |          0 |          5 |         19 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Player\mouse_touch_controller.cs                                       | C#       |         92 |          5 |         24 |        121 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Player\player.cs                                                       | C#       |         11 |          0 |          2 |         13 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Player\player_death.cs                                                 | C#       |         41 |          2 |         10 |         53 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Player\player_stats.cs                                                 | C#       |          9 |          1 |          2 |         12 |
